Question number or item identifier,Source location in file if available,Question text,Answer choices,Marked correct answer,Auditor verdict,Is the marked correct answer actually correct?,"If not, what is the actually correct answer?",Is the actually correct answer present among the choices?,Statistical issue category,Formula dependency assessment,Short rationale explaining the issue,"Easy fix to answer choices, if any","Easy fix to question wording, if any",Recommended final status
Item 154,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[153].stims[0],"A clinical psychologist is studying the duration of therapy sessions. Over the past month, the mean duration was 50 minutes with a variance of 4 minutes. What is the standard deviation of the therapy session durations?",Choice pool (runtime order randomized): 2 minutes || 16 minutes || 10 minutes || 64 minutes,2 minutes,Problematic but salvageable,Yes,2 minutes,Yes,Misinterpretation,Okay via simple division/arithmetic,"The keyed answer is numerically correct, but variance should be expressed in squared units, not minutes.",,"Change ""variance of 4 minutes"" to ""variance of 4 minutes squared"" or simply ""variance of 4.""",Revise wording
Item 155,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[154].stims[0],"In a study on weekly exercise hours among a group of adults, a relative frequency histogram was created. The histogram shows a bar for the 2-4 hours category that is twice as tall as the bar for the 0-2 hours category. What does this indicate?",Choice pool (runtime order randomized): The number of adults exercising 2-4 hours is twice as many as those exercising 0-2 hours. || Adults spend twice as much time in total exercising 2-4 hours as they do exercising 0-2 hours. || Adults exercising 2-4 hours are twice as healthy as those exercising 0-2 hours. || The average exercise time for all adults is between 2-4 hours.,The number of adults exercising 2-4 hours is twice as many as those exercising 0-2 hours.,Correct,Yes,The number of adults exercising 2-4 hours is twice as many as those exercising 0-2 hours.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 156,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[155].stims[0],A research study finds that the mean score on a well-being scale is 70 with a variance of 25. What is the standard deviation of the well-being scores?,Choice pool (runtime order randomized): 5 || 10 || 15 || 20,5,Correct,Yes,5,Yes,None,Okay via simple division/arithmetic,Keyed correctly; the required work is simple arithmetic rather than formula memorization.,,,Keep as is
Item 157,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[156].stims[0],A histogram of the number of weekly therapy sessions attended by clients shows most data concentrated on the left side and the tail extending to the right. What type of skewness does this histogram exhibit?,Choice pool (runtime order randomized): Positive skewness || Negative skewness || No skewness || Bimodal skewness,Positive skewness,Correct,Yes,Positive skewness,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 158,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[157].stims[0],"In a study on patient recovery times from a specific therapy, a histogram of the data showed a symmetrical distribution. If the mean recovery time is 30 days, which of the following is most likely true?",Choice pool (runtime order randomized): The median and mode of recovery times are also around 30 days. || Recovery times are positively skewed around 30 days. || The majority of patients recover exactly in 30 days. || The median recovery time is significantly different from 30 days.,The median and mode of recovery times are also around 30 days.,Correct,Yes,The median and mode of recovery times are also around 30 days.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 159,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[158].stims[0],"When analyzing the time spent on mindfulness exercises, a histogram shows most data points are clustered around the mean with few outliers. This distribution is an example of:",Choice pool (runtime order randomized): Low variance. || High variance. || Negative skewness. || Positive skewness.,Low variance.,Correct,Yes,Low variance.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 160,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[159].stims[0],Which combination involves analyzing the effect of a categorical variable on a quantitative response?,Choice pool (runtime order randomized): Analyzing the effect of gender on IQ scores || Analyzing the relationship between height and weight || Analyzing the effect of age on preference for a political party || Analyzing the relationship between favorite color and favorite season,Analyzing the effect of gender on IQ scores,Correct,Yes,Analyzing the effect of gender on IQ scores,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 161,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[160].stims[0],"A psychologist is studying the effect of different relaxation techniques on stress levels, which are quantified. What type of role-type classification would this fall under?",Choice pool (runtime order randomized): Categorical explanatory and quantitative response || Quantitative explanatory and categorical response || Categorical explanatory and categorical response || Quantitative explanatory and quantitative response,Categorical explanatory and quantitative response,Correct,Yes,Categorical explanatory and quantitative response,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 162,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[161].stims[0],"You are a researcher who wants to study the effectiveness of various therapy methods (CBT, Psychoanalysis, and DBT) on the likelihood of relapse in patients with depression. Both variables are categorical. What type of role-type classification does this belong to?",Choice pool (runtime order randomized): Categorical explanatory and categorical response || Quantitative explanatory and categorical response || Categorical explanatory and quantitative response || Quantitative explanatory and quantitative response,Categorical explanatory and categorical response,Correct,Yes,Categorical explanatory and categorical response,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 163,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[162].stims[0],"In a political survey, you want to study if the level of education (categorical) affects political affiliation (also categorical). What is the role-type classification of this study?",Choice pool (runtime order randomized): Categorical explanatory and categorical response || Quantitative explanatory and categorical response || Categorical explanatory and quantitative response || Quantitative explanatory and quantitative response,Categorical explanatory and categorical response,Correct,Yes,Categorical explanatory and categorical response,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 164,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[163].stims[0],"You are an educational psychologist studying the effect of learning styles on academic performance. Learning styles are categorical (Visual, Auditory, Kinesthetic), and academic performance is measured quantitatively (GPA). What role-type classification does this fall under?",Choice pool (runtime order randomized): Categorical explanatory and quantitative response || Categorical explanatory and categorical response || Quantitative explanatory and categorical response || Quantitative explanatory and quantitative response,Categorical explanatory and quantitative response,Correct,Yes,Categorical explanatory and quantitative response,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 165,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[164].stims[0],A study aims to examine the relationship between screen time (in hours) and mood ratings (on a scale of 1 to 10). What type of role-type classification is this?,Choice pool (runtime order randomized): Quantitative explanatory and quantitative response || Categorical explanatory and categorical response || Quantitative explanatory and categorical response || Categorical explanatory and quantitative response,Quantitative explanatory and quantitative response,Correct,Yes,Quantitative explanatory and quantitative response,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 166,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[165].stims[0],"A doctor wants to study the effect of different diets on cholesterol levels. Diets are categorized into Vegan, Mediterranean, and Keto, while cholesterol levels are measured quantitatively. What is the role-type classification?",Choice pool (runtime order randomized): Categorical explanatory and quantitative response || Categorical explanatory and categorical response || Quantitative explanatory and quantitative response || Quantitative explanatory and categorical response,Categorical explanatory and quantitative response,Correct,Yes,Categorical explanatory and quantitative response,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 167,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[166].stims[0],A company is investigating how years of experience affect the likelihood of getting promoted. What type of role-type classification is this?,Choice pool (runtime order randomized): Quantitative explanatory and categorical response || Categorical explanatory and quantitative response || Categorical explanatory and categorical response || Quantitative explanatory and quantitative response,Quantitative explanatory and categorical response,Correct,Yes,Quantitative explanatory and categorical response,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 168,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[167].stims[0],An environmental researcher is studying how average temperature affects the number of species in various ecosystems. What type of role-type classification does this study fall under?,Choice pool (runtime order randomized): Quantitative explanatory and quantitative response || Categorical explanatory and quantitative response || Categorical explanatory and categorical response || Quantitative explanatory and categorical response,Quantitative explanatory and quantitative response,Correct,Yes,Quantitative explanatory and quantitative response,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 169,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[168].stims[0],A psychology study wants to examine if introversion/extroversion (categorical) affects job satisfaction (measured on a scale of 1 to 10). What is the role-type classification?,Choice pool (runtime order randomized): Categorical explanatory and quantitative response || Categorical explanatory and categorical response || Quantitative explanatory and quantitative response || Quantitative explanatory and categorical response,Categorical explanatory and quantitative response,Correct,Yes,Categorical explanatory and quantitative response,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 170,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[169].stims[0],What is the primary goal of statistics in the context of research?,Choice pool (runtime order randomized): To use information from a sample to draw conclusions about a larger population || To make the research look complicated || To gather as much data as possible regardless of relevance || To find the best way to visualize data,To use information from a sample to draw conclusions about a larger population,Correct,Yes,To use information from a sample to draw conclusions about a larger population,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 171,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[170].stims[0],"In a study on workplace stress levels, why is it important to obtain a representative sample?",Choice pool (runtime order randomized): To avoid bias and make the results applicable to the larger population || To ensure the research is conducted as quickly as possible || To make sure the sample reflects only the views of the management || To make the study easier to conduct,To avoid bias and make the results applicable to the larger population,Correct,Yes,To avoid bias and make the results applicable to the larger population,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 172,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[171].stims[0],A psychology researcher decides to interview students in her own class about their sleep patterns. What kind of sampling is this?,Choice pool (runtime order randomized): Convenience Sampling || Cluster Sampling || Stratified Sampling || Simple Random Sampling,Convenience Sampling,Correct,Yes,Convenience Sampling,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 173,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[172].stims[0],"In a study on the effectiveness of a new antidepressant, what does it mean if there is a high rate of nonresponse?",Choice pool (runtime order randomized): The results may be biased if those who didn’t respond are systematically different from those who did || The study needs to include more variables || The study was conducted perfectly || The antidepressant is likely to be ineffective,The results may be biased if those who didn’t respond are systematically different from those who did,Correct,Yes,The results may be biased if those who didn’t respond are systematically different from those who did,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 174,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[173].stims[0],When might stratified sampling be particularly useful?,Choice pool (runtime order randomized): When there are specific subgroups in the population that a researcher wants to ensure are adequately represented || When the population is homogenous || When the researcher wants to save time || When the researcher is unsure about the population size,When there are specific subgroups in the population that a researcher wants to ensure are adequately represented,Correct,Yes,When there are specific subgroups in the population that a researcher wants to ensure are adequately represented,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 175,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[174].stims[0],What does it mean to draw a ‘simple random sample’?,"Choice pool (runtime order randomized): Every group of individuals has the same chance of being selected as every other group of the same size || Selecting individuals based on their accessibility || Selecting every 10th person from a list || Randomly drawing names from a hat, with equal chance for everyone",Every group of individuals has the same chance of being selected as every other group of the same size,Ambiguous,Yes,Every group of individuals has the same chance of being selected as every other group of the same size,Yes,Ambiguity,No formula needed,"The keyed definition is correct, but ""randomly drawing names from a hat, with equal chance for everyone"" is also a valid way to describe a simple random sample.",Replace the hat-drawing option with a non-SRS procedure such as convenience or systematic sampling.,,Revise choices
Item 176,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[175].stims[0],A researcher wants to study the impact of school environment on child behavior. He randomly selects three schools and then studies all the students in those schools. What type of sampling is this?,Choice pool (runtime order randomized): Cluster Sampling || Convenience Sampling || Simple Random Sampling || Stratified Sampling,Cluster Sampling,Correct,Yes,Cluster Sampling,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 177,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[176].stims[0],Why is it important for the sampling frame to match the population?,Choice pool (runtime order randomized): To reduce the risk of bias and make the sample truly representative of the population || To make the research easier to conduct || To make the results more easily published || To increase the sample size,To reduce the risk of bias and make the sample truly representative of the population,Correct,Yes,To reduce the risk of bias and make the sample truly representative of the population,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 178,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[177].stims[0],"In a large-scale study on mental health, researchers first select states, then cities within those states, then individuals within those cities. What is this an example of?",Choice pool (runtime order randomized): Multistage Sampling || Simple Random Sampling || Cluster Sampling || Stratified Sampling,Multistage Sampling,Correct,Yes,Multistage Sampling,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 179,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[178].stims[0],Why do researchers most often avoid using the largest possible sample size?,Choice pool (runtime order randomized): Budget constraints limit the size of the sample they can realistically study || Researchers believe smaller samples are always more representative || Larger samples make the study less reliable || They prefer smaller samples for more accurate results,Budget constraints limit the size of the sample they can realistically study,Correct,Yes,Budget constraints limit the size of the sample they can realistically study,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 180,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[179].stims[0],Researchers find that people who drink more coffee tend to score higher on cognitive tests. What can be concluded from this study?,Choice pool (runtime order randomized): There is a correlation between drinking coffee and scoring higher on cognitive tests. || Coffee drinkers are inherently smarter than non-coffee drinkers. || A high score on cognitive tests causes people to drink more coffee. || Drinking coffee causes better cognitive performance.,There is a correlation between drinking coffee and scoring higher on cognitive tests.,Correct,Yes,There is a correlation between drinking coffee and scoring higher on cognitive tests.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 181,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[180].stims[0],"In a study about sleep quality and academic performance, researchers found that students who sleep 8 hours a night perform better academically. Which of the following seems to be a likely lurking variable in this study?",Choice pool (runtime order randomized): Parental income || Type of mattress used for sleep || Number of siblings || Time of day the tests were taken,Parental income,Correct,Yes,Parental income,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 182,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[181].stims[0],Which of the following best describes a retrospective observational study?,Choice pool (runtime order randomized): Researchers look back at past data to find associations between variables. || Researchers track participants over time to observe outcomes. || Researchers manipulate one variable to observe its effect on another. || Researchers collect data in real-time without manipulating variables.,Researchers look back at past data to find associations between variables.,Correct,Yes,Researchers look back at past data to find associations between variables.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 183,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[182].stims[0],"In a study on the effectiveness of a new antidepressant, what is the purpose of giving some participants a placebo?",Choice pool (runtime order randomized): To serve as a control group for comparison || To guarantee that the new antidepressant is effective || To ensure that all participants believe they are receiving treatment || To make the study more ethical,To serve as a control group for comparison,Correct,Yes,To serve as a control group for comparison,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 184,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[183].stims[0],"In a study testing the effects of a new learning technique on test scores, what would be a good control group?","Choice pool (runtime order randomized): Students who are given a different, proven effective learning technique || Students who are given the same learning technique but not tested || Students who are given the new learning technique but not informed about its supposed benefits || Students who are not given any learning technique","Students who are given a different, proven effective learning technique",Ambiguous,Partly,A no-treatment or standard-practice control is typically the clearest control; an active proven-technique control can also be valid depending on the study goal.,Partly,Ambiguity,No formula needed,More than one answer could be defended as a reasonable control condition because the stem does not specify whether the goal is superiority over no treatment or over an existing method.,"State a single target comparison (for example no treatment, placebo, or current standard method) and remove the other defensible control option.",Clarify whether the control should be an active control or a no-treatment/standard-practice control.,Revise concept/substance
Item 185,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[184].stims[0],"In a study to test a new weight loss pill, why might it be beneficial to use a double-blind method?",Choice pool (runtime order randomized): To ensure that the researchers do not influence the results || To guarantee that the pill is effective || To make the study more ethical || To make the participants more comfortable,To ensure that the researchers do not influence the results,Correct,Yes,To ensure that the researchers do not influence the results,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 186,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[185].stims[0],In which type of study do researchers have more control over the variables?,Choice pool (runtime order randomized): Experimental study || Prospective observational study || Retrospective observational study || None; researchers never have control over variables,Experimental study,Correct,Yes,Experimental study,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 187,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[186].stims[0],A correlation coefficient of -0.9 between stress levels and hours of sleep suggests what?,Choice pool (runtime order randomized): There is a strong negative correlation between stress levels and hours of sleep. || There is a strong positive correlation between stress levels and hours of sleep. || High stress levels cause fewer hours of sleep. || Stress levels and hours of sleep are not related.,There is a strong negative correlation between stress levels and hours of sleep.,Correct,Yes,There is a strong negative correlation between stress levels and hours of sleep.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 188,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[187].stims[0],Why might a psychologist use a single-blind study rather than a double-blind study when researching a new psychotherapy method?,Choice pool (runtime order randomized): It may be difficult for the therapist to remain unaware of the treatment being given. || Single-blind studies are cheaper to conduct. || The psychologist wants to influence the outcome. || Single-blind studies are more ethical.,It may be difficult for the therapist to remain unaware of the treatment being given.,Correct,Yes,It may be difficult for the therapist to remain unaware of the treatment being given.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 189,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[188].stims[0],Why is it important to have a large sample size in an experimental study?,Choice pool (runtime order randomized): A large sample size reduces the impact of outliers and increases the study’s generalizability. || A large sample size makes the study more ethical. || A large sample size ensures that the experiment will have a positive result. || A large sample size guarantees the study will be published.,A large sample size reduces the impact of outliers and increases the study’s generalizability.,Correct,Yes,A large sample size reduces the impact of outliers and increases the study’s generalizability.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 190,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[189].stims[0],What is the range of values that the probability of an event can take?,Choice pool (runtime order randomized): 0 to 1 || 0 to 100 || 1 to 100 || -1 to 1,0 to 1,Correct,Yes,0 to 1,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 191,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[190].stims[0],"A psychologist is studying the likelihood that a person with social anxiety will decline an invitation to a social event. If 8 out of 10 people with social anxiety decline, what is the theoretical probability that the next person with social anxiety will also decline?",Choice pool (runtime order randomized): 0.8 || 0.5 || 1.0 || 0.2,0.8,Incorrect,No,0.8 is the empirical probability from the observed 8 of 10 cases; the question cannot ask for a theoretical probability from those data alone.,Partly,Misinterpretation,No formula needed,The stem confuses theoretical probability with empirical relative frequency.,,"Change ""theoretical probability"" to ""empirical probability.""",Revise concept/substance
Item 192,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[191].stims[0],"In a card game, you have observed that a certain card has been drawn 15 times in 100 games. What is the empirical probability of drawing that card in the next game?",Choice pool (runtime order randomized): 0.15 || 0.85 || 0.5 || 0.01,0.15,Correct,Yes,0.15,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 193,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[192].stims[0],Which of the following probabilities indicates the most likely event to occur?,Choice pool (runtime order randomized): 0.95 || 0.5 || 0.05 || 0.1,0.95,Correct,Yes,0.95,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 194,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[193].stims[0],Why is probability considered a way of quantifying uncertainty?,Choice pool (runtime order randomized): It provides a measure of how likely an event is to occur. || It gives us a way to feel more certain. || It guarantees accurate predictions of outcomes. || It helps us understand why an event occurs.,It provides a measure of how likely an event is to occur.,Correct,Yes,It provides a measure of how likely an event is to occur.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 195,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[194].stims[0],What is the theoretical probability of getting a heads in a fair coin toss?,Choice pool (runtime order randomized): 0.5 || 0 || 0.25 || 1,0.5,Correct,Yes,0.5,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
Item 196,C:\Users\ppavl\OneDrive\Active projects\mofacts_config\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_1775424119593_unzipped\psyc-3020-001-research-and-statistics-ii-spring-term-2026-export_stims.json :: setspec.clusters[195].stims[0],Why are multiple trials important in empirical probability?,Choice pool (runtime order randomized): They reduce the role of luck in the results. || They make the experiment more interesting. || They help in predicting the exact outcome of the next event. || They remove uncertainty completely.,They reduce the role of luck in the results.,Correct,Yes,They reduce the role of luck in the results.,Yes,None,No formula needed,Keyed correctly and statistically sound as written.,,,Keep as is
